"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"1148","27-3-15075","Proteins & Nutrition: Get Flat 30% Cashback","Paytm is Offering Extra Flat 30% Cashback on Proteins and Nutrition, Search here for Proteins - Authenticity Guaranteed for Extra 30% cashback by Using the PRO30 Code, Paytm Launches General Nutrition at Best Prices and get Extra 30% Cashback by Using the above Code, Also Buy For Health Food & Drinks, Proteins, Ultimate Nutrition, Endura Mass, Muscle Blaze, Muscletech and so on, Hurry to get this Deal, use Code PRO30 to get extra 30% cashback on min order value Rs 499 (Max.cash back Rs 2000, Max 2 order per user)","Flat 30% Cashback on Proteins and","Rs. 499 (Max.cash back","Proteins and Nutrition","get this Deal","","Using the PRO30 Code",""
"1149","27-3-15105","Brand Special Festive Suits for Women@ Flat 50% Cashback","Paytm is Offering Brand Special Festive Suits for Flat 50% Cashback During this Dussehra Season, Buy here for Adah, Hiba, Brijraj, Anarkali suit , Polyester Material, Georgette Dress Material, Chiffon Dress Material and so on, Hurry Up Buy now, Use the Coupon Code STYLE35 at the selected listing page for the Selected Party Wear Dress Materials to get 35% Cashback, use Code WEEK50 to get 50% cashback (Max.cash back Rs 5000), Get Maximum Cashback is Rs 3000 per Order, Use the Coupon Code given at the Selected listing page, Cashback will be Credited to your Paytm Account can be used to Buy anything you like","Flat 50% Cashback During this Dussehra","Rs. 5000)","get Dress Material Chiffon Dress Material","","","Use the Coupon Code STYLE35 at",""
"1150","27-3-15143","299 Store @ Fashion Accessories: Get Upto 50% + 30% cashback","Paytm is Offering Fashion Accessories which are under Rs 299, Buy here for Women Accessories like Scarfs, Judastick, Comb Clips, Hair Clips, Belts, Umbrella and So on, Get 30% Cashback on Minimum order Value of Rs 399, Maximum Cashback is Rs 1000, Max 3 orders per user, Avail the Best Price, Make Your Look More Stylish by wearing Scarfs, Clips, and Belts only through Paytm, Buy for Rs 399 & above to get 30% cash back, use Code SPARK30, (Max cashback Rs 1000), Get Designed accessories from Paytm and add amazing charm and grace to your personality, Avail it now","now","Rs. 299","Accessories which are under Rs 299"," Scarfs Judastick Comb Clips Hair Clips Belts Umbrella and So on","","wearing Scarfs Clips and",""
"1151","27-3-15144","Women@ Designer Wear: Get Extra 30% Cashback","Paytm is Offering Extra Flat 30% Cashback on Women Designer Wear, Buy Here For Various Designer Wear Clothes and get Extra Cashback, Discover outstanding designer clothing for women from Top Designers, The finest designer clothes for women are here to Buy now, Use STYLE30 to get 30% Cashback on Masaba Gupta by Stylista, Wendell Rodricks by Stylista, Famous by Payal Kapoor, Abu Jani & Sandeep Khosla, Ethnic Collection, Western Collection, Use the Coupon Code given at the selected listing page, use Code STYLE20 to get extra 20% paytm cash back (Max, cash back Rs 5000, Max 3 order per user), use Code STYLE30 for Selected Products to get 30% Paytm Cash (Max.cash back Rs 5000)","Flat 30% Cashback on Women Designer","Rs. 5000 Max 3 order per","Women Designer Wear","finest designer clothes for","","Stylista Wendell Rodricks",""
"1152","27-3-15150","3D Bed sheets: Get Upto 60% OFF + Extra 40% Cashback","Paytm is Offering 3D Bed sheets for 40% Discount, Buy Imported Superior Quality 3D Print Double Bed Sheets at lowest prices in India, Buy Online Imported Superior Quality 3D Print Double Bed Sheets with 2 Complimentary Pillow Covers Free and also get 40% OFF by Using the Coupon Code at the selected listing page, Buy Now, Get the Best Price on Bed sheets with Extra Cashback on Paytm, Use HNk to get Extra 40% Cash back on orders above Rs 1199, get 35% cash back on orders from Rs 499 to Rs 1199 and get 20% CB on orders less than Rs 499, Use HOME20 for Selected Bed Sheets to get Extra 20% Cashback on total order value (Max, cash back 1000)","Now","Rs. Use HNk to get Extra","Code at the selected listing page","get Extra 40% Cash","","Using the Coupon Code",""
"1153","27-3-15165","Spl. Occasions Bedsheets@ Get Extra 40% Cashback","Paaytm is Offering Spl, Occasions Bedsheets at Best Price, Buy here for Best Occasions Bedsheets starting from Rs 499, Choose from Wide Variety of Bed sheets and get Flat 40% Cashback on total Order Value by Using the above code, Minimum Shopping Value is Rs 499, Maximum Cashback is Rs 1000, Use HNK to get HNK Extra 40% Cash back on orders above Rs 1199, get 35% cash back on orders from Rs 499 to Rs 1199 and get 20% CB on orders less than Rs 499","Flat 40% Cashback on total Order","Rs. 499","total Order Value by Using the above code","Order Value by Using","","Using the above code",""
"1154","27-3-15205","Carpets: Buy 1 Get 1 Free + Upto 30% OFF","Paytm is Offering Upto 30% OFF on Carpets, Buy from a wide range of Carpets for living room & bedroom online at Paytm, Buy for Buy 1 Get 1 Free On Floral Carpets and also by Using the Coupon Code in app and get Upto 30% Cashback, Get 30% cashback when you Buy on the Paytm Website by Using the Coupon Code HNK on Minimum Order Value is between Rs 499 to Rs 1999, Get 20% CB on purchases less than 499, 30% cash back for purchases from 499 to 1999 and 40% Cash back for purchases 1999 & more, Don't Miss this Great Deal, Avail now","now","Rs. 499 to","Carpets","30% OFF on Carpets","","Using the Coupon Code",""
"1155","27-3-15206","Set Of 4 Door Curtains @ Extra 40% Cashback","Paytm is Offering Big Day Sale on Curtains, Buy here for Branded Curtains and get Extra 40% Cashback by Using the above code, Make Your Home Colorful with the Best Deal from Paytm, Use the above code and get 20% CB on purchases less than Rs 499, get 30% cash back for purchases from Rs 499 to Rs 1999 and get 40% Cash back for purchases Rs 1999 & more, Buy Now, Give the Stylish Look to your House","Now","Rs. 499 get 30% cash back","Curtains","Rs 1999 and get","","Using the above code",""
"1156","27-3-15241","Pain Management and First Aid Kits: Get Flat 35% Cashback","Paytm is Offering Flat 35% OFF on pain Management and First-Aid Kits, Buy here for Balms and Sprays, Body Support, First Aid Kit, Fracture Care, Hold and Cold Treatment and Physiotherapy Aids, Use the above code to get Flat 35% Cashback, Use HEALTH35 to get 35% Cashback for Balms & Sprays, Body Supports, First Aid Kit, Fracture Care, Hot & Cold Treatment, Physiotherapy Aids, Use the Coupon Code given at the Selected listing page, Buy Now, use Code HEALTH35 to get extra 35% cashback on min order value Rs 99 (Max.cash back Rs 999, Max 2 order per user), use Code HEALTH30 to get extra 30% cashback on min order value Rs 199 (Max.cash back Rs 400, Max 3 order per user) use Code HEALTH35 to get extra 35% cashback on min order value Rs 299 (Max.cash back Rs 400, Max 2 order per user)","Flat 35% OFF on pain Management","Rs. Buy here for Balms and","pain Management and First-Aid Kits","get Flat 35% Cashback","old and C","Use the above code to get",""
"1157","27-3-15245","Women@ Combo Deals: Get Flat 30% OFF","Paytm is Offering Extra Flat 30% Cashback On Women Combo on Fashion, Accessories, Footwear, Watches, Handbags, Sunglasses and so on, Use the Coupon Code given at the selected product Deal, Get Maximum cashback of Rs 4999, Don't Miss this Amazing Hot Deal , Seller will accept returns within a 15 days from date of delivery of the item, use Code STYLE30 to get 30% Paytm Cash (Max.cash back Rs, 5000), use Code TIME20 to get 20% Paytm Cash (Max.cash back Rs 5000/-, Max 3 order per user), use Code FOOT30 to get 30% cash back on total order value.(Max.cash back Rs 4999, Max 5 order per user), use Code WEEK45 to get 45% cashback (Max.cash back Rs, 5000)","Flat 30% Cashback On Women Combo","Rs. 4999","Fashion Accessories Footwear Watches Handbags Sunglasses and so on","get 30% Paytm Cash","","Use the Coupon Code given at",""
"1158","27-3-15256","Health Care@ Massagers: Get Extra 50% Cashback","Paytm is Offering Extra Flat 50% Cashback On Massagers, A good massage can do wonders for relieving tension and pain, So Buy here for Entire Range of Massagers which Includes Body Massagers, Heating Belts, Deemark Massagers, Massage Belts and So on, Use MASSAGER to get 40% Cashback on Massagers, Body Massagers, Heating Belts, Deemark Massagers, Massage Belts, Health is Wealth Now Paytm is giving both Health and Wealth, Buy Now, use Code MASSAGER to get extra 40% cashback on min order value Rs 199 (Max.cash back Rs 800, Max 2 order per user), use Code HEALTH30 to get extra 30% cashback on min order value Rs 199 (Max.cash back Rs 400, Max 3 order per user)","Flat 50% Cashback On Massagers","Rs. Use MASSAGER to get 40%","A good massage can do wonders for relieving tensi","get 40% Cashback on","","Use MASSAGER to get 40% Cashback","Paytm is giving both"
"1159","27-3-15316","Campus Sutra Winterwear@ Get Minimum 30% Cashback","Paytm Fashion Sale is Here, Buy here for Winter Wear, Printed T-Shirts, Printed Shirts, Jackets, Sweat Shirts, Hoodies and so on, Buy Campus Sutra products online in India from paytm and get Extra 30% Cashback by Using the above Code, Campus Sutra is all about being unique and standing out from the rest of the crowd, use Code STYLE30 to get extra 30% paytm cash back (Max, cash back Rs 5000, Max 3 order per user), use Code STYLE20 for selected Winter wear to get 20% Paytm Cash (Max.cash back Rs 5000), Buy Now","Now","Rs. 5000 Max 3 order per","get Extra 30% Cashback by Using","get extra 30% paytm","","Using the above Code",""
"1160","27-3-15318","The Android Store @ Get Flat 15% OFF","Paytm is Offering Flat 15% Cashback On Android Mobile Phones, Buy Here for Branded Mobiles like Motorola, Panasonic, Intex, Haier, Xolo, Lenovo, Sony, Samsung, HTC and so on, Maximum 1 Order per User is Valid, Use the Coupon Code given at the selected listing page","Flat 15% Cashback On Android Mobile","",""," Motorola Panasonic Intex Haier Xolo Lenovo Sony Samsung HTC and so on","","Use is Valid",""
"1161","27-3-15319","Men Shopping@ Save 40% OFF On Fashion","Paytm is Offering Sale Upto 40% OFF and get Extra Cashback on Men Shopping, Buy Here for Woodlands products, Cinthol Deodrants, T-shirts, Shoes, Sandals and Flip flops, Denims, Inner wear, Watches, Bags, Perfumes, use Code FOOT30 to get 30% cash back on Bucca Bucci Footwear, use Code STYLE40 to get 40% cashback on Denim Super Sale, use Code TIME35 to get 35% Paytm Cash on Fastrack Watches.use Code LOOK30 to get 30% cash back on Tresemme and Dove Exclusive Store, use Code STYLE30 to get 30% Paytm Cash on T-Shirts, use Code FOOT20 to get Flat 20% cashback on Adidas and Reebok Shoes.Use the Coupon Code given at the selected listing page, Avail now","Flat 20% cashback on Adidas and","now","Men Shopping","40% OFF and get","","Use Code STYLE40 to get 40%",""
"1162","27-3-15322","Women Apparel@ Get Flat 40% OFF","Paytm is Offering Sale on Women Shopping at Great Discounts, Buy Here for Women Footwear, Sarees, Dress Materials, Watches, Kurtis, Skin Care and so on.use Code FOOT15 to get 15% Paytm Cash on Pointy Heels and Wedges, use Code WEEK50 to get 50% Cashback on Kurtis Top Brands, use Code WEEK50 to get 50% Cashback on Sarees, use Code LOOK35 to get 35% cash back on Lakme- The Exclusive Store, use Code WEEK50 to get 50% Cashback on Dress Materials, use Code TIME35 to get 35% Paytm Cash on Titan Watches, Use the Coupon Code given at the selected listing page, Buy Now","Now","","Women Shopping at Great Discounts","get 15% Paytm Cash","","Use Code WEEK50 to get 50%",""
"1163","27-3-15331","All Footwear for Men: Extra Flat 30% Cashback","Paytm is Offering Men Shoes at Extra 30% Cashback by Using the above Code, Buy Men Footwear Online at Best Prices in India only at Paytm, Now get Adidas, Nike and Reebok Sports Shoes with Extra Cashback, Check here for 100+ products and get Extra Cashback, Use the FOOT30 code given at the Selected Products.Max 5 times Per User, No Minimum Order Value, Get the Best Brand Provogue Shoes with Extra 50% Cashback only through Paytm, use Code MAGIC65 to get 65% Paytm Cash, use Code FOOT40 for selected Footwear to get Flat 40% cashback on total order value, use Code FOOT35 for selected Footwear to get Flat 35% cashback on total order value, Get this Deal now","Flat 40% cashback on total order","","total order value","get 65% Paytm Cash","","Using the above Code","get Adidas Nike and"
"1164","27-3-15337","Induction Cooktops: Get Flat Extra 10% Cashback","Paytm is now Offering You to Buy Branded original Induction Cooktops online at lowest price, Buy online for Induction Cooktops from Prestige, Philips, Bajaj, Pigeon and so on at discounted prices with Extra 10% Cashback by Using the above code Limited Products, Use the Coupon Code given at the selected listing page, Paytm made Cooking Easy So Buy now, Cook Food without Gas Only on Induction Cook tops, Within warranty period Authorized Service Centers will repair or replace any defective part if needed, use Code PROMO15, get 15% cashback, Max Cashback Rs 4000, Max 2 items per order, 2 orders per user, use Code PROMO10 and Get 10% Cashback on Selected Products Only, Maximum Cashback of Rs 4000 and Maximum 2 orders per user, use Code APL10 for Selected Products to get 10% Cash back.(Max 3 order per user), Buy now","now Offering You to Buy Branded","Rs. Max Cashback","Cooktops online at lowest price","Buy Branded original Induction","","Using the above code","Limited Products"
"1165","27-3-15353","Security Systems@ Get 10% Cashback","Security cameras are a great way to provide security for your home or workplace, Buy Here at Paytm For Quantum CCTV Cameras, Bullet Cameras, Dome Cameras, DVR, Pen Cameras and so on, Use CC10 for Flat 10% CashBack on Security Systems, CCTV Cameras, Use CC10 to get 10% cashback on DVR, Bullet Cameras, Dome Cameras, Pen Cameras, Protect Your Home, Office, Workplace with this Exciting Deal from Paytm, Use the Coupon Code given at the selected listing page, Buy now, use Code CC10 for selected Products and get 10% cashback, (Max 1 order per user), use Code CC5 for selected Products to get 5% Paytm Cashback","Flat 10% CashBack on Security Systems","","Security Systems CCTV Cameras","provide security for your","","Use CC10 for Flat 10% CashBack",""
"1166","27-3-15395","Diapers@ Flat 35% Cashback","Paytm is Offering Baby Diapers at Best Price to keep your Baby dryness for fresh and happy mornings, Buy Here for Branded Diapers like Pampers, Huggies, Mamypoko Pants, Get Extra Flat 35% Cashback by Using the above code, use Code 35DIAP for selected Diapers to get 35% Cashback on min order value Rs 500 (Max.cash back Rs 1000 Max.), Don't Miss, Keep your Child free from wet problems, use Code 30DIAPER for Selected Diapers to get 30% Paytm Cash","Flat 35% Cashback by Using the","Rs. Buy Here for Branded Diapers","min order value Rs 500 (Max.cash back Rs 1000 Max.)"," Pampers Huggies Mamypoko Pants","","Diapers at Best Price",""
"1167","27-3-15406","Womens Footwear@ Get Extra 35% Cashback","Paytm is Offering Women Footwear at Best Price, Buy Here for Women Footwear like All Branded Footwear category, Ballerinas, Top Brands, Heels & Wedges, Sports and Sneakers, Assorted Footwear Collection, Freedom to run, Free Thinking Footwear and so on, use Code FOOT35 to get 35% Cashback on Carlton London Boots, use Code FOOT35 to get 35% Cashback on Footwear Which are Under Rs 399, use Code FOOT35 to get 35% Cashback on Balle Gambe Footwear, use Code FOOT35 to get 35% Cashback on Seasons Best Sellers on Footwear, use Code FOOT25 to get 25% Cashback on Bruno Manetti Footwear, use Code FOOT35 to get 35% Cashback on Buy the Best Footwear, Use the Coupon Code given at the Selected listing page, Now Buy for Footwear with Extra Cashback only through Paytm","Now Buy for Footwear with Extra","Rs. use Code FOOT35 to get","Carlt"," All Branded Footwear category Ballerinas Top Brands Heels & Wedges Sports and Sneakers Assorted Footwear Collection Freedom to run Free Thinking Footwear and so on","","Use Code FOOT35 to get 35%","Buy for Footwear with"
"1168","27-3-15451","Bus Ticket Booking: Get 50% Cashback (All Users)","Paytm is Offering Bus Ticket Booking, Get 50% Cash back by Using the above code, No Minimum Order Value, Plan Your Journeys and Get Maximum Cashback of Rs 125.This code can be used only 2 times per user, Cash back will be credited within 24 hours of the transaction into the user s Paytm Account, This is Applicable on all Platforms, This is Valid for all Old and New Users, Book Now and get the Cashback to your Paytm Account","Now and get the Cashback to","Rs. 125.This code can be used","into the user s Paytm Account","the user s Paytm","","Using the above code","and get the Cashback"
